alpha,beta,theta,delta,gamma,result
36.78543498569914,14.70445420611473,32.148959521552186,4.3829407983618065,21.138507381081475,2
41.758279525754176,11.74611475757366,38.30438629006367,5.368519904340836,23.451733124623956,2
26.62761593547822,16.22248891035947,18.30809599251517,5.750970201960343,12.034635306603255,2
39.796518351100694,28.286859319691015,31.414459149863276,24.458687223916804,20.051067511501977,2
26.12752086885167,12.661460096707906,21.22671835560409,2.8271098149036806,16.660178733078023,2
38.045005864053124,13.806803718449103,34.815173046777325,7.678934984257224,21.605947168441713,2
38.045005864053124,12.019157373785237,36.98537613389727,8.323826350862795,21.841272870477958,2
37.998446120343786,4.320665308755334,36.92863379811247,8.066451951846016,22.06642587008858,2
34.035785700976085,9.211934735909932,28.318080860737176,9.028050768122771,17.914450732405154,2
17.101765293565673,20.550297660472193,19.15618235252523,11.529274245783515,14.698888072124655,3
30.499456297948146,29.77365369507508,22.995987646337053,19.728108062363987,17.12685459182726,3
29.220068429919376,14.295568294615654,24.59373259897794,8.127387738982403,17.10404744502052,3
28.18575090952613,14.636443075396036,22.632155835866417,10.356742666892368,10.962050171986242,3
27.50696705511374,16.46146043511578,18.75649478856454,6.42830583877444,9.967688555029754,3
20.698713638772617,21.788003299617916,17.45854675526271,12.083671023246522,12.214362882853536,3
27.571013048964616,11.089930164780041,17.460082361676413,6.610890964815486,11.713692813004775,3
19.27781496410391,13.193576734842981,14.43583572799721,2.605383995599539,3.8541599238178517,3
22.71397052430399,12.72670047608254,15.60783078395426,2.030174422695548,10.650933009039552,3
12.256959237929378,22.216611941699306,15.445703510236736,5.28229198022145,15.246880289431347,3
28.824618374978627,21.42033174709278,19.77483767265548,13.189294372622829,12.276665979305369,3
22.607711083950534,20.22610724099219,17.773140239021785,4.000974851757895,9.909332561531544,3
20.3995511831225,22.377959232147248,15.885304606811232,7.109099290197782,11.976081438389024,3
14.61625684576265,17.220760874484945,13.931582803363582,2.453864833112504,12.612477540144473,3
21.326605646111258,24.0635826917574,13.695467968017017,5.861191505402918,6.872678146606245,3
22.544387972018093,27.652193175570673,15.821923346817746,9.302646637237238,9.809150677777138,3
20.76764424959033,25.107248802628856,18.215054397834862,10.04265282793203,9.490990044077883,3
21.618630804071536,15.064899966699056,20.92293033727434,6.355790182647916,16.230440185899347,3
27.495656643370754,32.064148062407035,20.521448711166585,12.536930771014157,12.097071226891961,3
23.765612218832935,21.82105827190555,17.443656541629863,17.922521642729528,7.9353215590799815,3
19.822779996822728,14.52775288777168,13.770285611116003,13.83686861543462,9.736705798059567,3
19.822779996822728,14.52775288777168,13.770285611116003,13.83686861543462,9.736705798059567,3
15.041207711087749,23.950175622170992,16.054224085958747,8.97605147155745,12.439641190839982,3
27.81295906196147,15.0781416729668,18.16989369562922,7.534506330852824,11.997002016155978,3
18.492786765394705,29.578685789822302,24.77496923972416,19.117591004222785,21.039207418819142,3
11.343881396968856,14.964165110980717,23.839281663303247,6.031843103747305,15.225252455824393,3
